Run_accession,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Material,Type,Isolation source,Avg_read_len,Avg_num_reads,True_label
SRR1518476,WGS,PRJNA255439,SAMN02919190,THE GEORGE WASHINGTON UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX655726,Illumina HiSeq 2000,SINGLE,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2014-10-22T00:00:00Z,ES 088,SRP044400,Oral,mMetagenome,Not declared,101.0,46560451.0,mOral
SRR1518536,WGS,PRJNA255439,SAMN02919191,THE GEORGE WASHINGTON UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX655735,Illumina HiSeq 2000,SINGLE,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2014-10-22T00:00:00Z,ES 089,SRP044400,Oral,mMetagenome,Not declared,101.0,51170097.0,mOral
SRR1518998,WGS,PRJNA255439,SAMN02919192,THE GEORGE WASHINGTON UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX656198,Illumina HiSeq 2000,SINGLE,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2014-10-22T00:00:00Z,ES 095,SRP044400,Oral,mMetagenome,Not declared,101.0,29670989.0,mOral
SRR1519045,WGS,PRJNA255439,SAMN02919195,THE GEORGE WASHINGTON UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX656246,Illumina HiSeq 2000,SINGLE,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2014-10-22T00:00:00Z,ES 106,SRP044400,Oral,mMetagenome,Not declared,101.0,38562271.0,mOral
SRR1519047,WGS,PRJNA255439,SAMN02919197,THE GEORGE WASHINGTON UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX656248,Illumina HiSeq 2000,SINGLE,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2014-10-22T00:00:00Z,ES 110,SRP044400,Oral,mMetagenome,Not declared,101.0,58009820.0,mOral
SRR1519052,WGS,PRJNA255439,SAMN02919201,THE GEORGE WASHINGTON UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX656253,Illumina HiSeq 2000,SINGLE,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2014-10-22T00:00:00Z,ES 208,SRP044400,Oral,mMetagenome,Not declared,101.0,57023729.0,mOral
SRR1519055,WGS,PRJNA255439,SAMN02919202,THE GEORGE WASHINGTON UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX656255,Illumina HiSeq 2000,SINGLE,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2014-10-22T00:00:00Z,ES 209,SRP044400,Oral,mMetagenome,Not declared,101.0,73888908.0,mOral
SRR1519056,WGS,PRJNA255439,SAMN02919203,THE GEORGE WASHINGTON UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX656257,Illumina HiSeq 2000,SINGLE,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2014-10-22T00:00:00Z,ES 210,SRP044400,Oral,mMetagenome,Not declared,101.0,40768371.0,mOral
SRR1519057,WGS,PRJNA255439,SAMN02919204,THE GEORGE WASHINGTON UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX656258,Illumina HiSeq 2000,SINGLE,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2014-10-22T00:00:00Z,ES 211,SRP044400,Oral,mMetagenome,Not declared,101.0,37767401.0,mOral
ERR2004615,WGS,PRJEB21269,SAMEA104120072,"APPRECIATE THE BEAUTY OF LIFE, INC.",public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX2064380,NextSeq 500,PAIRED,size fractionation,METAGENOMIC,soil metagenome,ILLUMINA,2019-01-02T00:00:00Z,SAMEA104120072,ERP023502,Sediment/Soil,mMetagenome,Not applicable,151.0,23362989.0,Sediment/Soil
SRR3189411,WGS,PRJNA46333,SAMN04360124,NISC,public,"sra,unknown_contigs",ncbi,ncbi.public,SRX1601624,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2016-05-01T00:00:00Z,MET0772,SRP002480,Skin,mMetagenome,Not applicable,101.0,13826170.0,Skin
SRR3189418,WGS,PRJNA46333,SAMN04360124,NISC,public,"sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1601624,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2016-05-01T00:00:00Z,MET0772,SRP002480,Skin,mMetagenome,Not applicable,101.0,11536508.0,Skin
