Run_accession,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Material,Type,Isolation source,Avg_read_len,Avg_num_reads,True_label
SRR1950687,WGS,PRJNA277905,SAMN03398501,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX976936,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2016-03-26T00:00:00Z,WBS008,SRP056821,Skin,mMetagenome,Not applicable,100.0,10664184.0,Skin
SRR1950688,AMPLICON,PRJNA277905,SAMN03398502,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX976937,Illumina HiSeq 2000,PAIRED,PCR,METAGENOMIC,human skin metagenome,ILLUMINA,2016-03-26T00:00:00Z,WBS005,SRP056821,Skin,mMetagenome,Not applicable,100.0,4650989.0,Skin
SRR1950694,AMPLICON,PRJNA277905,SAMN03398508,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX976943,Illumina HiSeq 2000,PAIRED,PCR,METAGENOMIC,human skin metagenome,ILLUMINA,2016-03-26T00:00:00Z,WBS002,SRP056821,Skin,mMetagenome,Not applicable,100.0,9446931.0,Skin
SRR1950695,WGS,PRJNA277905,SAMN03398509,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX976944,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2016-03-26T00:00:00Z,WOS016,SRP056821,Skin,mMetagenome,Not applicable,100.0,13089509.0,Skin
SRR1950716,WGS,PRJNA277905,SAMN03398530,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX976965,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2016-03-26T00:00:00Z,WBE008,SRP056821,Skin,mMetagenome,Not applicable,100.0,7863762.0,Skin
SRR1950717,WGS,PRJNA277905,SAMN03398531,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX976966,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2016-03-26T00:00:00Z,WBE017,SRP056821,Skin,mMetagenome,Not applicable,100.0,8428704.0,Skin
SRR1950724,WGS,PRJNA277905,SAMN03398538,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX976973,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2016-03-26T00:00:00Z,WBS019,SRP056821,Skin,mMetagenome,Not applicable,100.0,14574740.0,Skin
SRR1950736,WGS,PRJNA277905,SAMN03398550,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX976985,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2016-03-26T00:00:00Z,WBU014,SRP056821,Skin,mMetagenome,Not applicable,100.0,6519908.0,Skin
SRR1950744,WGS,PRJNA277905,SAMN03398558,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX976993,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2016-03-26T00:00:00Z,WBE004,SRP056821,Skin,mMetagenome,Not applicable,100.0,10262026.0,Skin
SRR1950747,WGS,PRJNA277905,SAMN03398561,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX976996,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2016-03-26T00:00:00Z,WBE011,SRP056821,Skin,mMetagenome,Not applicable,100.0,11061375.0,Skin
