Run_accession,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Material,Type,Isolation source,Avg_read_len,Avg_num_reads,True_label
SRR988083,WGS,PRJNA219368,SAMN02354107,GEORGIA TECH,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX352039,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,soil metagenome,ILLUMINA,2015-07-22T00:00:00Z,T5,SRP029969,Sediment/Soil,mMetagenome,Not applicable,101.0,52186306.0,Sediment/Soil
SRR988085,WGS,PRJNA219368,SAMN02354106,GEORGIA TECH,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX352038,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,soil metagenome,ILLUMINA,2015-07-22T00:00:00Z,T4.rep2,SRP029969,Sediment/Soil,mMetagenome,Not applicable,101.0,28954280.0,Sediment/Soil
SRR988086,WGS,PRJNA219368,SAMN02354105,GEORGIA TECH,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX352037,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,soil metagenome,ILLUMINA,2015-07-22T00:00:00Z,T4.rep1,SRP029969,Sediment/Soil,mMetagenome,Not applicable,101.0,29162543.0,Sediment/Soil
SRR988088,WGS,PRJNA219368,SAMN02354103,GEORGIA TECH,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX352035,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,soil metagenome,ILLUMINA,2015-07-22T00:00:00Z,T2,SRP029969,Sediment/Soil,mMetagenome,Not applicable,101.0,55033514.0,Sediment/Soil
SRR988093,WGS,PRJNA219368,SAMN02354098,GEORGIA TECH,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX352028,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,soil metagenome,ILLUMINA,2015-07-22T00:00:00Z,C3.rep2,SRP029969,Sediment/Soil,mMetagenome,Not applicable,100.0,40525382.0,Sediment/Soil
SRR988079,WGS,PRJNA219368,SAMN02354096,GEORGIA TECH,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX352022,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,soil metagenome,ILLUMINA,2015-07-22T00:00:00Z,C2,SRP029969,Sediment/Soil,mMetagenome,Not applicable,100.0,95040835.0,Sediment/Soil
SRR988096,WGS,PRJNA219368,SAMN02354096,GEORGIA TECH,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX352026,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,soil metagenome,ILLUMINA,2015-07-22T00:00:00Z,C2,SRP029969,Sediment/Soil,mMetagenome,Not applicable,100.0,95040835.0,Sediment/Soil
SRR988097,WGS,PRJNA219368,SAMN02354094,GEORGIA TECH,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX352024,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,soil metagenome,ILLUMINA,2015-07-22T00:00:00Z,C1.rep1,SRP029969,Sediment/Soil,mMetagenome,Not applicable,101.0,23571226.0,Sediment/Soil
SRR988078,WGS,PRJNA219368,SAMN02354096,GEORGIA TECH,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX352022,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,soil metagenome,ILLUMINA,2015-07-22T00:00:00Z,C2,SRP029969,Sediment/Soil,mMetagenome,Not applicable,101.0,19905076.0,Sediment/Soil
SRR7687997,WGS,PRJNA471898,SAMN09715306,NISC,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4548360,Illumina HiSeq 2500,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2018-10-12T00:00:00Z,MET1775,SRP157584,Skin,mMetagenome,Not applicable,126.0,16588845.0,Skin
SRR7992810,WGS,PRJNA471898,SAMN10173402,NISC,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4823838,Illumina HiSeq 2500,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2018-10-12T00:00:00Z,VRNA_221,SRP157584,Skin,mMetagenome,Not applicable,126.0,15142399.0,Skin
SRR062083,WGS,PRJNA48479,SAMN00038663,BI,HMP,"sra,srf","gs,ncbi,s3","gs.US,ncbi.dbgap,ncbi.public,s3.us-east-1",SRX024695,Illumina Genome Analyzer II,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2010-08-09T00:00:00Z,700034178,SRP002163,Oral,mMetagenome,Plaque,101.0,25994107.0,mOral
SRR1804664,WGS,PRJNA48479,SAMN00036814,WUGSC,HMP,sra,"gs,ncbi,s3","gs.US,ncbi.dbgap,ncbi.public,s3.us-east-1",SRX877178,Illumina HiSeq 2000,PAIRED,unspecified,GENOMIC,human metagenome,ILLUMINA,2015-02-19T00:00:00Z,700024251,SRP002163,Oral,mMetagenome,Plaque,100.0,23738885.0,mOral
SRR061192,WGS,PRJNA48479,SAMN00071939,WUGSC,HMP,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,ncbi.public,s3.us-east-1",SRX024009,Illumina Genome Analyzer II,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2010-07-29T00:00:00Z,700106818,SRP002163,Oral,mMetagenome,Plaque,100.0,23940307.0,mOral
SRR061320,WGS,PRJNA48479,SAMN00035796,WUGSC,HMP,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,ncbi.public,s3.us-east-1",SRX024061,Illumina Genome Analyzer II,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2010-07-29T00:00:00Z,700023232,SRP002163,Oral,mMetagenome,Plaque,100.0,24580676.0,mOral
SRR061365,WGS,PRJNA48479,SAMN00036281,WUGSC,HMP,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,ncbi.public,s3.us-east-1",SRX024107,Illumina Genome Analyzer II,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2010-07-29T00:00:00Z,700023718,SRP002163,Oral,mMetagenome,Plaque,100.0,27803377.0,mOral
SRR061562,WGS,PRJNA48479,SAMN00039883,WUGSC,HMP,sra,"gs,ncbi,s3","gs.US,ncbi.dbgap,ncbi.public,s3.us-east-1",SRX024200,Illumina Genome Analyzer II,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2010-08-14T00:00:00Z,700037132,SRP002163,Oral,mMetagenome,Plaque,100.0,27527393.0,mOral
SRR062298,WGS,PRJNA48479,SAMN00040247,WUGSC,HMP,sra,"gs,ncbi,s3","gs.US,ncbi.dbgap,ncbi.public,s3.us-east-1",SRX024882,Illumina Genome Analyzer II,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2010-08-14T00:00:00Z,700037500,SRP002163,Oral,mMetagenome,Plaque,100.0,30336715.0,mOral
