Run_accession,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Material,Type,Isolation source,Avg_read_len,Avg_num_reads,True_label
SRR988083,WGS,PRJNA219368,SAMN02354107,GEORGIA TECH,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX352039,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,soil metagenome,ILLUMINA,2015-07-22T00:00:00Z,T5,SRP029969,Sediment/Soil,mMetagenome,Not applicable,101.0,52186306.0,Sediment/Soil
SRR988085,WGS,PRJNA219368,SAMN02354106,GEORGIA TECH,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX352038,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,soil metagenome,ILLUMINA,2015-07-22T00:00:00Z,T4.rep2,SRP029969,Sediment/Soil,mMetagenome,Not applicable,101.0,28954280.0,Sediment/Soil
SRR988086,WGS,PRJNA219368,SAMN02354105,GEORGIA TECH,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX352037,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,soil metagenome,ILLUMINA,2015-07-22T00:00:00Z,T4.rep1,SRP029969,Sediment/Soil,mMetagenome,Not applicable,101.0,29162543.0,Sediment/Soil
SRR988088,WGS,PRJNA219368,SAMN02354103,GEORGIA TECH,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX352035,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,soil metagenome,ILLUMINA,2015-07-22T00:00:00Z,T2,SRP029969,Sediment/Soil,mMetagenome,Not applicable,101.0,55033514.0,Sediment/Soil
SRR988093,WGS,PRJNA219368,SAMN02354098,GEORGIA TECH,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX352028,Illumina HiSeq 2000,PAIRED,unspecified,METAGENOMIC,soil metagenome,ILLUMINA,2015-07-22T00:00:00Z,C3.rep2,SRP029969,Sediment/Soil,mMetagenome,Not applicable,100.0,40525382.0,Sediment/Soil
SRR1518476,WGS,PRJNA255439,SAMN02919190,THE GEORGE WASHINGTON UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX655726,Illumina HiSeq 2000,SINGLE,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2014-10-22T00:00:00Z,ES 088,SRP044400,Oral,mMetagenome,Not declared,101.0,46560451.0,mOral
SRR1518536,WGS,PRJNA255439,SAMN02919191,THE GEORGE WASHINGTON UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX655735,Illumina HiSeq 2000,SINGLE,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2014-10-22T00:00:00Z,ES 089,SRP044400,Oral,mMetagenome,Not declared,101.0,51170097.0,mOral
SRR1518998,WGS,PRJNA255439,SAMN02919192,THE GEORGE WASHINGTON UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX656198,Illumina HiSeq 2000,SINGLE,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2014-10-22T00:00:00Z,ES 095,SRP044400,Oral,mMetagenome,Not declared,101.0,29670989.0,mOral
SRR1519045,WGS,PRJNA255439,SAMN02919195,THE GEORGE WASHINGTON UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX656246,Illumina HiSeq 2000,SINGLE,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2014-10-22T00:00:00Z,ES 106,SRP044400,Oral,mMetagenome,Not declared,101.0,38562271.0,mOral
SRR1519047,WGS,PRJNA255439,SAMN02919197,THE GEORGE WASHINGTON UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX656248,Illumina HiSeq 2000,SINGLE,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2014-10-22T00:00:00Z,ES 110,SRP044400,Oral,mMetagenome,Not declared,101.0,58009820.0,mOral
SRR1519052,WGS,PRJNA255439,SAMN02919201,THE GEORGE WASHINGTON UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX656253,Illumina HiSeq 2000,SINGLE,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2014-10-22T00:00:00Z,ES 208,SRP044400,Oral,mMetagenome,Not declared,101.0,57023729.0,mOral
SRR1519055,WGS,PRJNA255439,SAMN02919202,THE GEORGE WASHINGTON UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX656255,Illumina HiSeq 2000,SINGLE,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2014-10-22T00:00:00Z,ES 209,SRP044400,Oral,mMetagenome,Not declared,101.0,73888908.0,mOral
SRR1519056,WGS,PRJNA255439,SAMN02919203,THE GEORGE WASHINGTON UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX656257,Illumina HiSeq 2000,SINGLE,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2014-10-22T00:00:00Z,ES 210,SRP044400,Oral,mMetagenome,Not declared,101.0,40768371.0,mOral
SRR1519057,WGS,PRJNA255439,SAMN02919204,THE GEORGE WASHINGTON UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX656258,Illumina HiSeq 2000,SINGLE,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2014-10-22T00:00:00Z,ES 211,SRP044400,Oral,mMetagenome,Not declared,101.0,37767401.0,mOral
SRR1157609,WGS,PRJNA221719,SAMN02364458,GEORGIA TECH,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX461727,Illumina HiSeq 2000,PAIRED,size fractionation,METAGENOMIC,soil metagenome,ILLUMINA,2014-02-10T00:00:00Z,Bog25,SRP030479,Sediment/Soil,mMetagenome,Not applicable,100.0,52421485.0,Sediment/Soil
SRR1950687,WGS,PRJNA277905,SAMN03398501,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX976936,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2016-03-26T00:00:00Z,WBS008,SRP056821,Skin,mMetagenome,Not applicable,100.0,10664184.0,Skin
SRR1950688,AMPLICON,PRJNA277905,SAMN03398502,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX976937,Illumina HiSeq 2000,PAIRED,PCR,METAGENOMIC,human skin metagenome,ILLUMINA,2016-03-26T00:00:00Z,WBS005,SRP056821,Skin,mMetagenome,Not applicable,100.0,4650989.0,Skin
SRR1950694,AMPLICON,PRJNA277905,SAMN03398508,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX976943,Illumina HiSeq 2000,PAIRED,PCR,METAGENOMIC,human skin metagenome,ILLUMINA,2016-03-26T00:00:00Z,WBS002,SRP056821,Skin,mMetagenome,Not applicable,100.0,9446931.0,Skin
